Time,EIt_normalized,SIt_normalized,DIt_normalized,POI_normalized
2022/10/1,0,1,0,1
2022/11/1,0,0.000888626,0,0.000544891
2022/12/1,0.017528587,0,0.998965463,0.000133484
2023/1/1,0,3.60E-07,0.739212547,3.60E-07
2023/2/1,0,1.19E-06,0.739212547,1.19E-06
2023/3/1,0,1.02E-06,0.739212547,1.02E-06
2023/4/1,0,4.71E-06,0.739212547,4.71E-06
2023/5/1,0.108056043,1.09E-05,0.9995106,0.000209674
2023/6/1,1,0,1,0.000839676
2023/7/1,0,0,0.739212547,0
2023/8/1,0,0.5,0,0
2023/9/1,0,1.702077,0,0.026565
2023/10/1,0.001732835,0.5,1.670851,0.03275
2023/11/1,0,0.726039,0.739632,0.043167
2023/12/1,0.001155224,0.895564,0.90854336,0.008051
2024/1/1,0.001732835,0.347567,0.931218964,0.002215939
2024/2/1,0.128334,1.071952,3.152426,0.090853
2024/3/1,0.4007,3.81989,4.642582,1.60629
2024/4/1,1.950153,4,5.959554,4.9542
2024/5/1,7.58634,1.784315,9,6.29826
