答题序号,Q1_您对中华传统文化的重要性认知,Q2_请简要说明您对网络舆情对中华传统文化的影响的看法,Q3_您对中华传统文化的认知50因为网络舆情发生过改变,Q4_您认为网络舆情对中华传统文化的影响是5还是0？,Q6_您认为中华传统文化能0在网络舆情的影响下得到更好的发展,Q8_如果未来网络世界中出现了唱衰中华传统文化的声音，您的选择是：
1,5,3,0,5,5,5
2,5,5,5,5,5,5
3,3,5,5,5,5,5
4,5,3,5,5,5,5
5,5,5,5,5,5,5
6,5,5,5,3,5,5
7,5,5,0,5,5,5
8,5,3,0,3,5,2
9,5,5,5,3,5,0
10,5,5,5,5,5,5
11,5,5,5,5,5,5
12,5,5,5,3,5,5
13,5,3,5,5,5,5
14,5,5,5,0,0,5
15,5,5,5,5,5,5
16,5,5,5,5,5,1
17,5,3,5,3,0,5
18,5,5,5,3,5,5
19,3,3,5,5,5,2
20,5,5,0,3,5,5
21,5,5,5,0,0,5
22,5,5,5,5,5,5
23,3,3,0,3,0,2
24,5,3,0,3,0,2
25,5,5,0,5,5,5
26,5,5,5,5,5,2
27,5,5,5,5,5,5
28,5,5,5,3,5,5
29,3,3,0,3,5,5
30,5,5,5,5,5,5
31,3,3,0,5,5,5
32,5,5,5,5,5,5
33,3,5,5,3,5,5
34,3,3,5,5,5,0
35,5,5,5,5,5,2
36,5,5,5,5,5,5
37,5,5,5,5,5,5
38,5,3,0,3,0,5
39,5,5,5,5,5,5
40,5,5,0,5,5,2
41,5,5,0,5,5,1
42,5,5,5,5,5,5
43,3,3,5,0,5,0
44,5,3,0,5,5,5
45,5,5,5,5,5,5
46,5,5,5,0,5,0
47,5,3,5,5,5,5
48,5,3,0,3,5,5
49,5,5,5,5,5,5
50,5,5,5,5,5,5
51,5,5,5,5,5,2
52,5,5,0,3,5,5
53,5,3,5,3,5,5
54,5,5,0,5,5,5
55,5,5,5,5,5,0
56,5,5,5,5,5,5
57,5,5,5,5,5,5
58,5,5,0,3,5,5
59,5,5,5,5,5,5
60,5,5,5,3,5,1
61,5,5,0,3,5,5
62,5,5,5,5,5,5
63,5,5,0,3,0,5
64,5,5,5,5,5,5
65,3,5,5,5,5,5
66,5,5,5,3,5,5
67,5,5,5,5,5,5
68,5,5,5,3,5,5
69,5,5,5,3,5,5
70,5,3,0,5,5,5
71,5,5,5,3,5,5
72,0,0,0,3,0,5
73,5,5,0,3,0,5
74,5,5,5,3,5,5
75,5,5,0,3,5,5
76,3,5,5,5,5,5
77,3,3,5,5,5,5
78,5,5,5,3,5,5
79,5,5,5,5,5,5
80,5,3,0,3,5,5
81,5,5,0,3,5,5
82,5,5,5,3,5,5
83,5,5,5,5,5,1
84,5,5,5,5,5,5
85,3,3,0,0,5,1
